Matchingname,pollination,sexual_system,ploidy,notes,AnnBot_23_Poll Mode_U_Unresolved,Flower Morphotype,Pollination_index_1-1.29W_1.3-2.56U_2.57-3 I,Reassesed_poll mode_U_unresolved,Source,Original,Fullname
Aquilegia_buergeriana-oxysepala,0,0,0,,,,,,,Aquilegia.buergeriana.oxysepala_O04AQU,Aquilegia_buergeriana_oxysepala_O04AQU
Aquilegia_formosa,0,0,0,,,,,,,Aquilegia.formosa_Aqfor1,Aquilegia_formosa_Aqfor1
Enemion_raddeanum,0,0,0,,,,,,,Enemion.raddeanum_O02ENE,Enemion_raddeanum_O02ENE
Isopyrum_manshuricum,0,0,0,,,,,,,Isopyrum.manshuricum_O03ISO,Isopyrum_manshuricum_O03ISO
Leptopyrum_fumarioides,0,0,0,,,,,,,Leptopyrum.fumarioides_O07LEP,Leptopyrum_fumarioides_O07LEP
Paraquilegia_microphylla,0,0,0,,,,,,,Paraquilegia.microphylla_O06PAR,Paraquilegia_microphylla_O06PAR
Semiaquilegia_adoxoides,0,0,0,,,,,,,Semiaquilegia.adoxoides_O05SEM,Semiaquilegia_adoxoides_O05SEM
Thalictrum_actaeifolium,0,0,0,,U,Intermediate,2,U (?),https://academic.oup.com/aob/article/132/1/61/7180922,T.actaeifolium_T01ACT,Thalictrum__actaeifolium_T01ACT
Thalictrum_acutifolium,0,0,?,,,,2.57,,,T.acutifolium_T94ACU,Thalictrum__acutifolium_T94ACU
Thalictrum_alpinum,1,0,0,,X (field data),Intermediate,2,,,T.alpinum_T02ALPCn,Thalictrum__alpinum_T02ALPCn
Thalictrum_amurense,?,0,1,,,,,,,,
Thalictrum_aquilegiifolium,0,0,0,,X,showy stamen,2.71,,,T.aquilegiifolium_T03AQU,Thalictrum__aquilegiifolium_T03AQU
Thalictrum_aquilegiifolium-sibricum,0,0,1,"aquilegifolium var. sibiricum is paraphyletic,so we are including it",X (field data),,2.43,,,T.aquilegiifolium.sibiricum_T03AQUs,Thalictrum__aquilegiifolium_sibiricum_T03AQUs
Thalictrum_arkansanum,1,1,?,,X (boundary),possibly small unisex,1.43,,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=233501259,T.arkansanum_T04ARKf,Thalictrum__arkansanum_T04ARKf
Thalictrum_arsenii,1,2,1,,,,1,,,T.arsenii_T05ARSf,Thalictrum__arsenii_T05ARSf
Thalictrum_atriplex,0,0,?,,,,2.86,,,T.atriplex_T95ATI,Thalictrum__atriplex_T95ATI
Thalictrum_baicalense,0,0,0,,X (boundary),,2.43,,,T.baicalense_T06BAI,Thalictrum__baicalense_T06BAI
Thalictrum_calabricum,0,0,1,,,,2.57,,,T.calabricum_T08CAL,Thalictrum__calabricum_T08CAL
Thalictrum_calcicola,?,0,?,,,,ND,,,T.calcicola_T105CAC,Thalictrum__calcicola_T105CAC
